date_order,GMV_D_R
01/01/21,165253.86000000002
02/01/21,212730.40000000002
03/01/21,367444.84
04/01/21,350296.26
05/01/21,547738.82
06/01/21,321592.1400000001
07/01/21,693834.4399999996
08/01/21,708449.92
09/01/21,577225.6999999998
10/01/21,795220.5900000002
11/01/21,447965.61000000004
12/01/21,520371.26999999984
13/01/21,649017.7
14/01/21,397585.56999999995
15/01/21,222442.58999999997
16/01/21,514164.2800000002
17/01/21,660578.8199999998
18/01/21,575584.5800000002
19/01/21,845839.4499999997
20/01/21,758212.26
21/01/21,418174.38
22/01/21,751447.2099999996
23/01/21,753168.37
24/01/21,1011789.8200000001
25/01/21,961148.5000000001
26/01/21,885436.4600000002
27/01/21,949791.1299999999
28/01/21,952934.89
29/01/21,900139.5300000003
30/01/21,850180.7199999996
31/01/21,1385722.6499999997
01/02/21,1149654.7400000005
02/02/21,991793.0300000004
03/02/21,913348.8999999999
04/02/21,1001578.5300000006
05/02/21,1469186.1399999992
06/02/21,1276473.919999999
07/02/21,1184088.7099999997
08/02/21,1124547.5600000005
09/02/21,1480115.269999999
10/02/21,1937825.139999999
11/02/21,1272678.09
12/02/21,1280372.0800000003
13/02/21,1487032.4699999995
14/02/21,1640610.68
15/02/21,1888197.6599999997
16/02/21,1540225.04
17/02/21,1238218.7899999998
18/02/21,1048473.7399999999
19/02/21,1423061.1099999999
20/02/21,1658970.6099999999
21/02/21,1872120.88
22/02/21,2047246.6300000013
23/02/21,1809254.0399999993
24/02/21,1651426.4300000004
25/02/21,1631920.4399999995
26/02/21,1940673.1900000006
27/02/21,1492934.8399999994
28/02/21,2220034.37
01/03/21,2532205.1100000003
02/03/21,1687990.64
03/03/21,1843821.6799999997
04/03/21,1535965.5800000003
05/03/21,2208386.19
06/03/21,1505742.86
07/03/21,1490070.3800000004
08/03/21,1327546.64
09/03/21,826348.7799999999
10/03/21,817145.2000000002
11/03/21,607281.9899999998
12/03/21,264715.44
13/03/21,166059.53
14/03/21,100518.09
