Date_orders,orders,return_orders,Return_Rate
01/01/21,10,0,0
02/01/21,14,1,7.1
03/01/21,20,2,10
04/01/21,24,1,4.2
05/01/21,21,1,4.8
06/01/21,21,2,9.5
07/01/21,29,2,6.9
08/01/21,29,3,10.3
09/01/21,25,2,8
10/01/21,47,2,4.3
11/01/21,34,1,2.9
12/01/21,31,0,0
13/01/21,24,1,4.2
14/01/21,24,0,0
15/01/21,18,1,5.6
16/01/21,29,1,3.4
17/01/21,31,0,0
18/01/21,34,2,5.9
19/01/21,36,1,2.8
20/01/21,33,0,0
21/01/21,22,3,13.6
22/01/21,45,3,6.7
23/01/21,42,2,4.8
24/01/21,45,4,8.9
25/01/21,49,2,4.1
26/01/21,42,2,4.8
27/01/21,50,7,14
28/01/21,54,5,9.3
29/01/21,56,3,5.4
30/01/21,46,2,4.3
31/01/21,72,7,9.7
01/02/21,53,2,3.8
02/02/21,60,2,3.3
03/02/21,57,3,5.3
04/02/21,59,3,5.1
05/02/21,66,3,4.5
06/02/21,59,3,5.1
07/02/21,53,2,3.8
08/02/21,66,5,7.6
09/02/21,76,8,10.5
10/02/21,74,7,9.5
11/02/21,73,4,5.5
12/02/21,58,3,5.2
13/02/21,75,4,5.3
14/02/21,73,5,6.8
15/02/21,88,4,4.5
16/02/21,71,4,5.6
17/02/21,61,3,4.9
18/02/21,55,4,7.3
19/02/21,82,4,4.9
20/02/21,72,4,5.6
21/02/21,97,6,6.2
22/02/21,95,6,6.3
23/02/21,96,7,7.3
24/02/21,90,4,4.4
25/02/21,82,5,6.1
26/02/21,85,4,4.7
27/02/21,78,6,7.7
28/02/21,102,3,2.9
01/03/21,111,11,9.9
02/03/21,93,4,4.3
03/03/21,97,3,3.1
04/03/21,90,4,4.4
05/03/21,107,8,7.5
06/03/21,79,6,7.6
07/03/21,80,2,2.5
08/03/21,73,6,8.2
09/03/21,42,0,0
10/03/21,40,0,0
11/03/21,26,1,3.8
12/03/21,10,0,0
13/03/21,10,0,0
14/03/21,5,0,0
